asin,title,category,price,image_url,amazon_url,features,description,slug
B07KHPLFMS,Texsens Innovative Traveler Bubble Backpack Pet Carriers for Cats and Dogs (Black),Carriers,26.99,https://m.media-amazon.com/images/I/61tatOQzdLL._AC_SL1000_.jpg,https://www.amazon.com/dp/B07KHPLFMS?tag=captaincatnip-20,"Pet Backpack Dimensions: 12.6"" L x 11.4"" W x 16.5"" H. Perfect for dogs up to 15-pounds, or cats up to 18-pounds. Easily fits cats, small dogs, and most other small/medium-sized pets! Please make sure your pet sits within 14.5 inches overall height and 12 inches wide|Breathable & Perspective: Three side was made of PVC mesh for the carriers. Well ventilated design for optimal airflow and checking on pet|Reduce shoulder weight: This cat carrier backpack comes with chest buckles which helps to reduce the burden and keeps the shoulder straps from slipping while pet moving|Keep your pet comfortable: Removable cosy mat for easier cleaning and let your pet enjoy it inside|Last Long Using and Easy Storage: Our premium pet carrier is quite scratch-resistant and sturdy for long lasting use. You can also rest assured that it is strong enough to stand up to the scratches or gnawing of your pets","Pet Backpack Dimensions: 12.6"" L x 11.4"" W x 16.5"" H. Perfect for dogs up to 15-pounds, or cats up to 18-pounds. Easily fits cats, small dogs, and most other small/medium-sized pets! Please make sure your pet sits within 14.5 inches overall height and 12 inches wide Breathable & Perspective: Three side was made of PVC mesh for the carriers. Well ventilated design for optimal airflow and checking on pet",texsens-innovative-traveler-bubble-backpack-pet-carriers-for-cats-and-dogs-black
B0CSSRPTLT,"FUKUMARU Cat Scratcher Mat, 23.6 X 15.7 Inch Natural Sisal Cat Scratch Mats, Horizontal Cat Floor Scratching Pad Rug with Sticky Tapes, Protect Sofa and Carpet",Scratchers,11.79,https://m.media-amazon.com/images/I/71RqPxMK7lL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CSSRPTLT?tag=captaincatnip-20,Trusted Amazon-listed product|Highly rated by cat owners|Ships fast via Amazon,"FUKUMARU Cat Scratcher Mat, 23.6 X 15.7 Inch Natural Sisal Cat Scratch Mats, Horizontal Cat Floor Scratching Pad Rug with Sticky Tapes, Protect Sofa and Carpet — a top-rated scratchers pick for cat parents. Order on Amazon with fast shipping.",fukumaru-cat-scratcher-mat-23-6-x-15-7-inch-natural-sisal-cat-scratch-mats-horiz
B0FSD5WXP3,"Interactive Cat Toys for Indoor Cats,[Newly Upgraded] Rechargeable Touch Activated Hide and Seek Kitten Toys for Bored Indoor Adult Cats with Fluttering (Blue)",Toys,24.97,https://m.media-amazon.com/images/I/81BkPMBXkKL._AC_SL1500_.jpg,https://www.amazon.com/dp/B0FSD5WXP3?tag=captaincatnip-20,"【Top-Tier Dual Interactive Fun】Qraxond's new indoor cat toy has dual motors, controlling random rotation of butterfly and plush tail swing rod accessories, bringing fun, exciting play for kittens and adult cats. 🎁Hide-and-Seek: The animal tail-shaped plush hides under the cover cloth, rotating irregularly to appear/disappear, creating a hide-and-seek game. It mimics real prey, bringing unpredictable chases to stimulate the cat’s brain and senses. 🦋Irregular Rotating Butterfly: The top has an auto-rotating butterfly that rotates, pauses or swings to simulate real flight, keeping the cat engaged. Various interactions ensure the cat gets enough exercise to avoid obesity.|【3 Adjustable Speed Modes】Customize the excitement with separate buttons for the butterfly and tail! Choose from 3 settings: Steady (Blue Light), Active (Purple Light), and Random (Yellow Light). Ideal for high-energy cats to burn off steam or for calm cats to enjoy gentle play. Keep your feline entertained and prevent boredom, especially when they are home alone.|【Touch-Sensitive Activation】Your Cat’s in Control! With smart touch-sensor technology, just tap the device to fire up the fun mode — it’ll kick off a 5-minute automatic play session instantly.Right after the play session ends, it switches directly to touch-sensitive standby mode, where the purple indicator light flashes every 20 seconds. Simply tap again to reactivate it for another 5-minute cycle. This smart loop not only ensures your cat gets sufficient exercise, but also prevents overstimulation.|【Large Rechargeable Battery】Enjoy long-lasting play with the built-in 2500mAh battery! It charges fully in just 2.5 hours via the included USB cable (use a 5V adapter only). The efficient auto on/off cycle extends battery life, making it convenient for busy pet owners while ensuring your cat gets healthy, moderate exercise.|【Realistic Bird Chirping】Elevate the hunt with lifelike sound! The built-in speaker emits authentic bird chirps to attract your cat’s attention and stimulate their prey drive. Combined with the random motions of the butterfly and tail, it creates an irresistible and engaging play experience that keeps your cat happily chasing even when they're by themselves.","【Top-Tier Dual Interactive Fun】Qraxond's new indoor cat toy has dual motors, controlling random rotation of butterfly and plush tail swing rod accessories, bringing fun, exciting play for kittens and adult cats. 🎁Hide-and-Seek: The animal tail-shaped plush hides under the cover cloth, rotating irregularly to appear/disappear, creating a hide-and-seek game. It mimics real prey, bringing unpredictable chases to stimulate the cat’s brain and senses. 🦋Irregular Rotating Butterfly: The top has an auto-rotating butterfly that rotates, pauses or swings to simulate real flight, keeping the cat engaged",interactive-cat-toys-for-indoor-cats-newly-upgraded-rechargeable-touch-activated
B0BZ835755,"rabbitgoo Escape Proof Cat Harness and Leash Set, M, Black | 4 Adjustable Points, Quick-snap Buckles, All-weather Mesh, Secure Clip, Reflective Strips, for Medium to Large Cats Outings",Collars,16.78,https://m.media-amazon.com/images/I/71RgpY2c+uL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BZ835755?tag=captaincatnip-20,Trusted Amazon-listed product|Highly rated by cat owners|Ships fast via Amazon,"rabbitgoo Escape Proof Cat Harness and Leash Set, M, Black | 4 Adjustable Points, Quick-snap Buckles, All-weather Mesh, Secure Clip, Reflective Strips, for Medium to Large Cats Outings — a top-rated collars pick for cat parents. Order on Amazon with fast shipping.",rabbitgoo-escape-proof-cat-harness-and-leash-set-m-black-4-adjustable-points-qui
B000X1S9RW,"from The Field | Organic Catnip Leaf & Flower Blend for Cats & Kittens | Fresh USA-Grown, Highly Aromatic, Non-Toxic, Eco-Friendly | 3.5 oz Resealable Tub for Long-Lasting Potency & Active Playtime",Catnip,12.69,https://m.media-amazon.com/images/I/71pH69eqXlL._AC_SL1477_.jpg,https://www.amazon.com/dp/B000X1S9RW?tag=captaincatnip-20,"Fresh and Potent: Packed with premium leaf and flower cut for a highly aromatic, long-lasting catnip experience.|Proudly Made and Grown in the USA: Ensuring top-quality, safe catnip for your feline companion.|Convenient Resealable Tub: Keeps your catnip fresh for longer, easy to store and use.|Leaf and Flower Cut: A balanced mix of leaves and flowers for maximum potency.|Promotes Healthy Exercise: Encourages active play and mental stimulation, keeping cats entertained and fit.","Treat your cat to the finest Catnip Leaf and Flower with our resealable tub. Made from all-natural, USA-grown catnip, this blend contains a potent mix of leaves and flowers for maximum freshness and enjoyment. The convenient reclosable tub ensures long-lasting freshness, making it perfect for keeping your cat entertained and engaged. Proudly grown and harvested in the USA, this premium catnip is ideal for refreshing toys or encouraging playful activity.",from-the-field-organic-catnip-leaf-flower-blend-for-cats-kittens-fresh-usa-grown
B01N66Y1IK,"Pet Hair Remover Glove - Gentle Pet Grooming Glove Brush - Deshedding Glove - Massage Mitt with Enhanced Five Finger Design - Perfect for Dogs & Cats with Long & Short Fur - 1 Pack (Right-hand), Blue",Grooming,7.19,https://m.media-amazon.com/images/I/71JXORyFGEL._AC_UL320_.jpg,https://www.amazon.com/dp/B01N66Y1IK?tag=captaincatnip-20,Trusted Amazon-listed product|Highly rated by cat owners|Ships fast via Amazon,"Pet Hair Remover Glove - Gentle Pet Grooming Glove Brush - Deshedding Glove - Massage Mitt with Enhanced Five Finger Design - Perfect for Dogs & Cats with Long & Short Fur - 1 Pack (Right-hand), Blue — a top-rated grooming pick for cat parents. Order on Amazon with fast shipping.",pet-hair-remover-glove-gentle-pet-grooming-glove-brush-deshedding-glove-massage
B0FJFJR4GV,"XiaZ Cat Wall Shelves, Corner Cat Shelf with 3 Wide Perch Steps, Kitty Wall Climber Wooden Furniture up to 25lbs, Modern Floating Cats Stairs for Indoor Sleeping, Playing, Climbing",Furniture,34.99,https://m.media-amazon.com/images/I/71GO2OW5WtL._AC_UL320_.jpg,https://www.amazon.com/dp/B0FJFJR4GV?tag=captaincatnip-20,Trusted Amazon-listed product|Highly rated by cat owners|Ships fast via Amazon,"XiaZ Cat Wall Shelves, Corner Cat Shelf with 3 Wide Perch Steps, Kitty Wall Climber Wooden Furniture up to 25lbs, Modern Floating Cats Stairs for Indoor Sleeping, Playing, Climbing — a top-rated furniture pick for cat parents. Order on Amazon with fast shipping.",xiaz-cat-wall-shelves-corner-cat-shelf-with-3-wide-perch-steps-kitty-wall-climbe
B0B7RQTSB7,"Heybly Cat Tree with Toy, Cat Tower condo for Indoor Cats, Cat House with Padded Plush Perch, Cozy Hammock and Sisal Scratching Posts, Smoky Gray HCT004SG",Trees,35.99,https://m.media-amazon.com/images/I/71N99J8RxoL._AC_SL1500_.jpg,https://www.amazon.com/dp/B0B7RQTSB7?tag=captaincatnip-20,"Ideal design of structure: Structure of the cat tree is designed according the climbing habits of cats. Two jumping platforms not only increase the active space but also help kitties and older cats to climb up and down|Stability is the Primary Consideration for A Cat Tower: Sturdy cat climbing frame base, sisal wrapped scratch posts and Anti-toppling devices ensures the security of active kittens and cats playing on the activity centre|Spacious and Removable Top Perch: The well-padded top platform is suitable for kittens. They can lie on the soft place as a bed to sleep, observe and nap|Lazy Cats Favorite Basket: Cats naturally like the feeling of being wrapped , which makes them feel safe, therefore a comfortable and strong basket are always necessary|A Cat teasing stick and Plush Ball for Kittens to Play: The extra cat teaser stick increases the interactive fun of cat and its owner. The toy ball with bell do not make too much noise. It can meet the cats' play needs while not disturbing the owner","Ideal design of structure: Structure of the cat tree is designed according the climbing habits of cats. Two jumping platforms not only increase the active space but also help kitties and older cats to climb up and down Stability is the Primary Consideration for A Cat Tower: Sturdy cat climbing frame base, sisal wrapped scratch posts and Anti-toppling devices ensures the security of active kittens and cats playing on the activity centre",heybly-cat-tree-with-toy-cat-tower-condo-for-indoor-cats-cat-house-with-padded-p
B08CWY3TLW,"Oxyfresh Premium Pet Dental Care Solution Pet Water Additive: Best Way to Eliminate Bad Dog Breath and Cat Bad Breath - Fights Tartar & Plaque - So Easy, Just Add to Water! Vet Recommended 16 oz.",Health,18.95,https://m.media-amazon.com/images/I/61Ugh5bSNsL._AC_UL320_.jpg,https://www.amazon.com/dp/B08CWY3TLW?tag=captaincatnip-20,Trusted Amazon-listed product|Highly rated by cat owners|Ships fast via Amazon,"Oxyfresh Premium Pet Dental Care Solution Pet Water Additive: Best Way to Eliminate Bad Dog Breath and Cat Bad Breath - Fights Tartar & Plaque - So Easy, Just Add to Water! Vet Recommended 16 oz. — a top-rated health pick for cat parents. Order on Amazon with fast shipping.",oxyfresh-premium-pet-dental-care-solution-pet-water-additive-best-way-to-elimina
B08CY5VR5W,"Bedsure Cat Beds for Indoor Cats - Large Cat Cave for Pet Cat House with Fluffy Ball Hanging and Scratch Pad, Foldable Cat Hideaway, 16.5x16.5x13 inches, Grey",Beds,26.99,https://m.media-amazon.com/images/I/81hCdOyfk5L._AC_UL320_.jpg,https://www.amazon.com/dp/B08CY5VR5W?tag=captaincatnip-20,Trusted Amazon-listed product|Highly rated by cat owners|Ships fast via Amazon,"Bedsure Cat Beds for Indoor Cats - Large Cat Cave for Pet Cat House with Fluffy Ball Hanging and Scratch Pad, Foldable Cat Hideaway, 16.5x16.5x13 inches, Grey — a top-rated beds pick for cat parents. Order on Amazon with fast shipping.",bedsure-cat-beds-for-indoor-cats-large-cat-cave-for-pet-cat-house-with-fluffy-ba
